timestamp,data
2025004,120001
2025007,120002
2025010,120003
2025013,120004
2025016,120005
2025019,120006
2025022,120007
2025025,120008
2025028,120009
2025031,120010
2025034,120011
2025037,120012
2025040,120013
2025043,120014
2025046,120015
2025049,120016
2025052,120017
2025055,120018
2025058,120019
2025061,120020
2025064,120021
2025067,120022
2025070,120023
2025073,120024
2025076,120025
2025079,120026
2025082,120027
2025085,120028
2025088,120029
2025091,120030
2025094,120031
2025097,120032
2025100,120033
2025103,120034
2025106,120035
2025109,120036
2025112,120037
2025115,120038
2025118,120039
2025121,120040
2025124,120041
2025127,120042
2025130,120043
2025133,120044
2025136,120045
2025139,120046
2025142,120047
2025145,120048
2025148,120049
2025151,120050
2025154,120051
2025157,120052
2025160,120053
2025163,120054
2025166,120055
2025169,120056
2025172,120057
2025175,120058
2025178,120059
2025181,120060
2025184,120061
2025187,120062
2025190,120063
2025193,120064
2025196,120065
2025199,120066
2025202,120067
2025205,120068
2025208,120069
2025211,120070
2025214,120071
2025217,120072
2025220,120073
2025223,120074
2025226,120075
2025229,120076
2025232,120077
2025235,120078
2025238,120079
2025241,120080
2025244,120081
2025247,120082
2025250,120083
2025253,120084
2025256,120085
2025259,120086
2025262,120087
2025265,120088
2025268,120089
2025271,120090
2025274,120091
2025277,120092
2025280,120093
2025283,120094
2025286,120095
2025289,120096
2025292,120097
2025295,120098
2025298,120099
2025301,120100
2025304,120101
2025307,120102
2025310,120103
2025313,120104
2025316,120105
2025319,120106
2025322,120107
2025325,120108
2025328,120109
2025331,120110
2025334,120111
2025337,120112
2025340,120113
2025343,120114
2025346,120115
2025349,120116
2025352,120117
2025355,120118
2025358,120119
2025361,120120
2025364,120121
2025367,120122
2025370,120123
2025373,120124
2025376,120125
2025379,120126
2025382,120127
2025385,120128
2025388,120129
2025391,120130
2025394,120131
2025397,120132
2025400,120133
2025403,120134
2025406,120135
2025409,120136
2025412,120137
2025415,120138
2025418,120139
2025421,120140
2025424,120141
2025427,120142
2025430,120143
2025433,120144
2025436,120145
2025439,120146
2025442,120147
2025445,120148
2025448,120149
2025451,120150
2025454,120151
2025457,120152
2025460,120153
2025463,120154
2025466,120155
2025469,120156
2025472,120157
2025475,120158
2025478,120159
2025481,120160
2025484,120161
2025487,120162
2025490,120163
2025493,120164
2025496,120165
2025499,120166
2025502,120167
2025505,120168
2025508,120169
2025511,120170
2025514,120171
2025517,120172
2025520,120173
2025523,120174
2025526,120175
2025529,120176
2025532,120177
2025535,120178
2025538,120179
2025541,120180
2025544,120181
2025547,120182
2025550,120183
2025553,120184
2025556,120185
2025559,120186
2025562,120187
2025565,120188
2025568,120189
2025571,120190
2025574,120191
2025577,120192
2025580,120193
2025583,120194
2025586,120195
2025589,120196
2025592,120197
2025595,120198
2025598,120199
2025601,120200
2025604,120201
2025607,120202
2025610,120203
2025613,120204
2025616,120205
2025619,120206
2025622,120207
2025625,120208
2025628,120209
2025631,120210
2025634,120211
2025637,120212
2025640,120213
2025643,120214
2025646,120215
2025649,120216
2025652,120217
2025655,120218
2025658,120219
2025661,120220
2025664,120221
2025667,120222
2025670,120223
2025673,120224
2025676,120225
2025679,120226
2025682,120227
2025685,120228
2025688,120229
2025691,120230
2025694,120231
2025697,120232
2025700,120233
2025703,120234
2025706,120235
2025709,120236
2025712,120237
2025715,120238
2025718,120239
2025721,120240
2025724,120241
2025727,120242
2025730,120243
2025733,120244
2025736,120245
2025739,120246
2025742,120247
2025745,120248
2025748,120249
2025751,120250
2025754,120251
2025757,120252
2025760,120253
2025763,120254
2025766,120255
2025769,120256
2025772,120257
2025775,120258
2025778,120259
2025781,120260
2025784,120261
2025787,120262
2025790,120263
2025793,120264
2025796,120265
2025799,120266
2025802,120267
2025805,120268
2025808,120269
2025811,120270
2025814,120271
2025817,120272
2025820,120273
2025823,120274
2025826,120275
2025829,120276
2025832,120277
2025835,120278
2025838,120279
2025841,120280
2025844,120281
2025847,120282
2025850,120283
2025853,120284
2025856,120285
2025859,120286
2025862,120287
2025865,120288
2025868,120289
2025871,120290
2025874,120291
2025877,120292
2025880,120293
2025883,120294
2025886,120295
2025889,120296
2025892,120297
2025895,120298
2025898,120299
2025901,120300
2025904,120301
2025907,120302
2025910,120303
2025913,120304
2025916,120305
2025919,120306
2025922,120307
2025925,120308
2025928,120309
2025931,120310
2025934,120311
2025937,120312
2025940,120313
2025943,120314
2025946,120315
2025949,120316
2025952,120317
2025955,120318
2025958,120319
2025961,120320
2025964,120321
2025967,120322
2025970,120323
2025973,120324
2025976,120325
2025979,120326
2025982,120327
2025985,120328
2025988,120329
2025991,120330
2025994,120331
2025997,120332
2026000,120333
2026003,120334
2026006,120335
2026009,120336
2026012,120337
2026015,120338
2026018,120339
2026021,120340
2026024,120341
2026027,120342
2026030,120343
2026033,120344
2026036,120345
2026039,120346
2026042,120347
2026045,120348
2026048,120349
2026051,120350
2026054,120351
2026057,120352
2026060,120353
2026063,120354
2026066,120355
2026069,120356
2026072,120357
2026075,120358
2026078,120359
2026081,120360
2026084,120361
2026087,120362
2026090,120363
2026093,120364
2026096,120365
2026099,120366
2026102,120367
2026105,120368
2026108,120369
2026111,120370
2026114,120371
2026117,120372
2026120,120373
2026123,120374
2026126,120375
2026129,120376
2026132,120377
2026135,120378
2026138,120379
2026141,120380
2026144,120381
2026147,120382
2026150,120383
2026153,120384
2026156,120385
2026159,120386
2026162,120387
2026165,120388
2026168,120389
2026171,120390
2026174,120391
2026177,120392
2026180,120393
2026183,120394
2026186,120395
2026189,120396
2026192,120397
2026195,120398
2026198,120399
2026201,120400
2026204,120401
2026207,120402
2026210,120403
2026213,120404
2026216,120405
2026219,120406
2026222,120407
2026225,120408
2026228,120409
2026231,120410
2026234,120411
2026237,120412
2026240,120413
2026243,120414
2026246,120415
2026249,120416
2026252,120417
2026255,120418
2026258,120419
2026261,120420
2026264,120421
2026267,120422
2026270,120423
2026273,120424
2026276,120425
2026279,120426
2026282,120427
2026285,120428
2026288,120429
2026291,120430
2026294,120431
2026297,120432
2026300,120433
2026303,120434
2026306,120435
2026309,120436
2026312,120437
2026315,120438
2026318,120439
2026321,120440
2026324,120441
2026327,120442
2026330,120443
2026333,120444
2026336,120445
2026339,120446
2026342,120447
2026345,120448
2026348,120449
2026351,120450
2026354,120451
2026357,120452
2026360,120453
2026363,120454
2026366,120455
2026369,120456
2026372,120457
2026375,120458
2026378,120459
2026381,120460
2026384,120461
2026387,120462
2026390,120463
2026393,120464
2026396,120465
2026399,120466
2026402,120467
2026405,120468
2026408,120469
2026411,120470
2026414,120471
2026417,120472
2026420,120473
2026423,120474
2026426,120475
2026429,120476
2026432,120477
2026435,120478
2026438,120479
2026441,120480
2026444,120481
2026447,120482
2026450,120483
2026453,120484
2026456,120485
2026459,120486
2026462,120487
2026465,120488
2026468,120489
2026471,120490
2026474,120491
2026477,120492
2026480,120493
2026483,120494
2026486,120495
2026489,120496
2026492,120497
2026495,120498
2026498,120499
2026501,120500
2026504,120501
2026507,120502
2026510,120503
2026513,120504
2026516,120505
2026519,120506
2026522,120507
2026525,120508
2026528,120509
2026531,120510
2026534,120511
2026537,120512
2026540,120513
2026543,120514
2026546,120515
2026549,120516
2026552,120517
2026555,120518
2026558,120519
2026561,120520
2026564,120521
2026567,120522
2026570,120523
2026573,120524
2026576,120525
2026579,120526
2026582,120527
2026585,120528
2026588,120529
2026591,120530
2026594,120531
2026597,120532
2026600,120533
2026603,120534
2026606,120535
2026609,120536
2026612,120537
2026615,120538
2026618,120539
2026621,120540
2026624,120541
2026627,120542
2026630,120543
2026633,120544
2026636,120545
2026639,120546
2026642,120547
2026645,120548
2026648,120549
2026651,120550
2026654,120551
2026657,120552
2026660,120553
2026663,120554
2026666,120555
2026669,120556
2026672,120557
2026675,120558
2026678,120559
2026681,120560
2026684,120561
2026687,120562
2026690,120563
2026693,120564
2026696,120565
2026699,120566
2026702,120567
2026705,120568
2026708,120569
2026711,120570
2026714,120571
2026717,120572
2026720,120573
2026723,120574
2026726,120575
2026729,120576
2026732,120577
2026735,120578
2026738,120579
2026741,120580
2026744,120581
2026747,120582
2026750,120583
2026753,120584
2026756,120585
2026759,120586
2026762,120587
2026765,120588
2026768,120589
2026771,120590
2026774,120591
2026777,120592
2026780,120593
2026783,120594
2026786,120595
2026789,120596
2026792,120597
2026795,120598
2026798,120599
2026801,120600
2026805,120601
2026808,120602
2026811,120603
2026814,120604
2026817,120605
2026820,120606
2026823,120607
2026826,120608
2026829,120609
2026832,120610
2026835,120611
2026838,120612
2026841,120613
2026844,120614
2026847,120615
2026850,120616
2026853,120617
2026856,120618
2026859,120619
2026862,120620
2026865,120621
2026868,120622
2026871,120623
2026874,120624
2026877,120625
2026880,120626
2026883,120627
2026886,120628
2026889,120629
2026892,120630
2026895,120631
2026898,120632
2026901,120633
2026904,120634
2026907,120635
2026910,120636
2026913,120637
