timestamp,data
2011003,102001
2011007,102002
2011011,102003
2011016,102004
2011022,102005
2011029,102006
2011037,102007
2011048,102008
2011063,102009
2011091,102010
2011118,102011
2011129,102012
2011139,102013
2011149,102014
2011159,102015
2011169,102016
2011182,102017
2011197,102018
2011218,102019
2011236,102020
2011250,102021
2011262,102022
2011274,102023
2011286,102024
2011298,102025
2011312,102026
2011328,102027
2011344,102028
2011360,102029
2011374,102030
2011387,102031
2011400,102032
2011413,102033
2011426,102034
2011440,102035
2011455,102036
2011470,102037
2011484,102038
2011499,102039
2011512,102040
2011526,102041
2011539,102042
2011553,102043
2011567,102044
2011581,102045
2011596,102046
2011610,102047
2011624,102048
2011638,102049
2011652,102050
2011666,102051
2011679,102052
2011693,102053
2011707,102054
2011722,102055
2011736,102056
2011750,102057
2011764,102058
2011778,102059
2011792,102060
2011806,102061
2011820,102062
2011834,102063
2011848,102064
2011862,102065
2011876,102066
2011890,102067
2011904,102068
2011918,102069
2011932,102070
2011946,102071
2011960,102072
2011974,102073
2011988,102074
2012002,102075
2012016,102076
2012030,102077
2012044,102078
2012058,102079
2012072,102080
2012086,102081
2012100,102082
2012114,102083
2012128,102084
2012142,102085
2012156,102086
2012170,102087
2012184,102088
2012198,102089
2012212,102090
2012226,102091
2012240,102092
2012254,102093
2012268,102094
2012282,102095
2012296,102096
2012310,102097
2012324,102098
2012338,102099
2012352,102100
2012366,102101
2012380,102102
2012394,102103
2012408,102104
2012422,102105
2012436,102106
2012450,102107
2012464,102108
2012478,102109
2012492,102110
2012506,102111
2012520,102112
2012534,102113
2012548,102114
2012562,102115
2012576,102116
2012590,102117
2012604,102118
2012618,102119
2012632,102120
2012646,102121
2012660,102122
2012674,102123
2012688,102124
2012702,102125
2012716,102126
2012730,102127
2012744,102128
2012758,102129
2012772,102130
2012786,102131
2012800,102132
2012814,102133
2012828,102134
2012842,102135
2012856,102136
2012870,102137
2012884,102138
2012898,102139
2012912,102140
2012926,102141
2012940,102142
2012954,102143
2012968,102144
2012982,102145
2012996,102146
2013010,102147
2013024,102148
2013038,102149
2013052,102150
2013066,102151
2013080,102152
2013094,102153
2013108,102154
2013122,102155
2013136,102156
2013150,102157
2013164,102158
2013178,102159
2013192,102160
2013206,102161
2013220,102162
2013234,102163
2013248,102164
2013262,102165
2013276,102166
2013290,102167
2013304,102168
2013318,102169
2013332,102170
2013346,102171
2013360,102172
2013374,102173
2013388,102174
2013402,102175
2013416,102176
2013430,102177
2013444,102178
2013458,102179
2013472,102180
2013486,102181
2013500,102182
2013514,102183
2013528,102184
2013542,102185
2013556,102186
2013570,102187
2013584,102188
2013598,102189
2013612,102190
2013626,102191
2013640,102192
2013654,102193
2013668,102194
2013682,102195
2013696,102196
2013710,102197
2013724,102198
2013738,102199
2013752,102200
2013766,102201
2013780,102202
2013794,102203
2013808,102204
2013822,102205
2013836,102206
2013850,102207
2013864,102208
2013878,102209
2013892,102210
2013906,102211
2013920,102212
2013934,102213
2013948,102214
2013962,102215
2013976,102216
2013990,102217
2014004,102218
2014018,102219
2014032,102220
2014046,102221
2014060,102222
2014074,102223
2014088,102224
2014102,102225
2014116,102226
2014130,102227
2014144,102228
2014158,102229
2014172,102230
2014186,102231
2014200,102232
2014214,102233
2014228,102234
2014242,102235
2014256,102236
2014270,102237
2014284,102238
2014298,102239
2014312,102240
2014326,102241
2014340,102242
2014354,102243
2014368,102244
2014382,102245
2014396,102246
2014410,102247
2014424,102248
2014438,102249
2014452,102250
2014466,102251
2014480,102252
2014494,102253
2014508,102254
2014522,102255
2014536,102256
2014550,102257
2014564,102258
2014578,102259
2014592,102260
2014606,102261
2014620,102262
2014634,102263
2014648,102264
2014662,102265
2014676,102266
2014690,102267
2014704,102268
2014718,102269
2014732,102270
2014746,102271
2014760,102272
2014774,102273
2014788,102274
2014802,102275
2014816,102276
2014830,102277
2014844,102278
2014858,102279
2014872,102280
2014886,102281
2014900,102282
2014914,102283
2014928,102284
2014942,102285
2014956,102286
2014970,102287
2014984,102288
2014998,102289
2015012,102290
2015026,102291
2015040,102292
2015054,102293
2015068,102294
2015082,102295
2015096,102296
2015110,102297
2015124,102298
2015138,102299
2015152,102300
2015166,102301
2015180,102302
2015194,102303
2015208,102304
2015222,102305
2015236,102306
2015250,102307
2015264,102308
2015278,102309
2015292,102310
2015306,102311
2015320,102312
2015334,102313
2015348,102314
2015362,102315
2015376,102316
2015390,102317
2015404,102318
2015418,102319
2015432,102320
2015446,102321
2015460,102322
2015474,102323
2015488,102324
2015502,102325
2015516,102326
2015530,102327
2015544,102328
2015558,102329
2015572,102330
2015586,102331
2015600,102332
2015614,102333
2015628,102334
2015642,102335
2015656,102336
2015670,102337
2015684,102338
2015698,102339
2015712,102340
2015726,102341
2015740,102342
2015754,102343
2015768,102344
2015782,102345
2015796,102346
2015810,102347
2015824,102348
2015838,102349
2015852,102350
2015866,102351
2015880,102352
2015894,102353
2015908,102354
2015922,102355
2015936,102356
2015950,102357
2015964,102358
2015978,102359
2015992,102360
2016006,102361
2016020,102362
2016034,102363
2016048,102364
2016062,102365
2016076,102366
2016090,102367
2016104,102368
2016118,102369
2016132,102370
2016146,102371
2016160,102372
2016174,102373
2016188,102374
2016202,102375
2016216,102376
2016230,102377
2016244,102378
2016258,102379
2016272,102380
2016286,102381
2016300,102382
2016314,102383
2016328,102384
2016342,102385
2016356,102386
2016370,102387
2016384,102388
2016398,102389
2016412,102390
2016426,102391
2016440,102392
2016454,102393
2016468,102394
2016482,102395
2016496,102396
2016510,102397
2016524,102398
2016538,102399
2016552,102400
2016566,102401
2016580,102402
2016594,102403
2016608,102404
2016622,102405
2016636,102406
2016650,102407
2016664,102408
2016678,102409
2016692,102410
2016706,102411
2016720,102412
2016734,102413
2016748,102414
2016762,102415
2016776,102416
2016790,102417
2016804,102418
2016818,102419
2016832,102420
2016846,102421
2016860,102422
2016874,102423
2016888,102424
2016902,102425
2016916,102426
2016930,102427
2016944,102428
2016958,102429
2016972,102430
2016986,102431
2017000,102432
2017014,102433
2017028,102434
2017042,102435
2017056,102436
2017070,102437
2017084,102438
2017098,102439
2017112,102440
2017126,102441
2017140,102442
2017154,102443
2017168,102444
2017182,102445
2017196,102446
2017210,102447
2017224,102448
2017238,102449
2017252,102450
2017266,102451
2017280,102452
2017294,102453
2017308,102454
2017322,102455
2017336,102456
2017350,102457
2017364,102458
2017378,102459
2017392,102460
2017406,102461
2017420,102462
2017434,102463
2017448,102464
2017462,102465
2017476,102466
2017490,102467
2017504,102468
2017518,102469
2017532,102470
2017546,102471
2017560,102472
2017574,102473
2017588,102474
2017602,102475
2017616,102476
2017630,102477
2017644,102478
2017658,102479
2017672,102480
2017686,102481
2017700,102482
2017714,102483
2017728,102484
2017742,102485
2017756,102486
2017770,102487
2017784,102488
2017798,102489
2017812,102490
2017826,102491
2017840,102492
2017854,102493
2017868,102494
2017882,102495
2017896,102496
2017910,102497
2017924,102498
2017938,102499
2017952,102500
2017966,102501
2017980,102502
2017994,102503
2018008,102504
2018022,102505
2018036,102506
2018050,102507
2018064,102508
2018078,102509
2018092,102510
2018106,102511
2018120,102512
2018134,102513
2018148,102514
2018162,102515
2018176,102516
2018190,102517
2018204,102518
2018218,102519
2018232,102520
2018246,102521
2018260,102522
2018274,102523
2018288,102524
2018302,102525
2018316,102526
2018330,102527
2018344,102528
2018358,102529
2018372,102530
2018386,102531
2018400,102532
2018414,102533
2018428,102534
2018442,102535
2018456,102536
2018470,102537
2018484,102538
2018498,102539
2018512,102540
2018526,102541
2018540,102542
2018554,102543
2018568,102544
2018582,102545
2018596,102546
2018610,102547
2018624,102548
2018638,102549
2018652,102550
2018666,102551
2018680,102552
2018694,102553
2018708,102554
2018722,102555
2018736,102556
2018750,102557
2018764,102558
2018778,102559
2018792,102560
2018806,102561
2018820,102562
2018834,102563
2018848,102564
2018862,102565
2018876,102566
2018890,102567
2018904,102568
2018918,102569
2018932,102570
2018946,102571
2018960,102572
2018974,102573
2018988,102574
2019002,102575
2019016,102576
2019030,102577
2019044,102578
2019058,102579
2019072,102580
2019086,102581
2019100,102582
2019114,102583
2019128,102584
2019142,102585
2019156,102586
2019170,102587
2019184,102588
2019198,102589
2019212,102590
2019226,102591
2019240,102592
2019254,102593
2019268,102594
2019282,102595
2019296,102596
2019310,102597
2019324,102598
2019338,102599
2019352,102600
2019366,102601
2019380,102602
2019394,102603
2019408,102604
2019422,102605
2019436,102606
2019450,102607
2019464,102608
2019478,102609
2019492,102610
2019506,102611
2019520,102612
2019534,102613
2019548,102614
2019562,102615
2019576,102616
2019590,102617
2019604,102618
2019618,102619
2019632,102620
2019646,102621
2019660,102622
2019674,102623
2019688,102624
2019702,102625
2019716,102626
2019730,102627
2019744,102628
2019758,102629
2019772,102630
2019786,102631
2019800,102632
2019814,102633
2019828,102634
2019842,102635
2019856,102636
2019870,102637
2019884,102638
2019898,102639
2019912,102640
2019926,102641
2019940,102642
2019954,102643
2019968,102644
2019982,102645
2019996,102646
2020010,102647
2020024,102648
2020038,102649
2020052,102650
2020066,102651
2020080,102652
2020094,102653
2020108,102654
2020122,102655
2020136,102656
2020150,102657
2020164,102658
2020178,102659
2020192,102660
2020206,102661
2020220,102662
2020234,102663
2020248,102664
2020262,102665
2020276,102666
2020290,102667
2020304,102668
2020318,102669
2020332,102670
2020346,102671
2020360,102672
2020374,102673
2020388,102674
2020402,102675
2020416,102676
2020430,102677
2020444,102678
2020458,102679
2020472,102680
2020486,102681
2020500,102682
2020514,102683
2020528,102684
2020542,102685
2020556,102686
2020570,102687
2020584,102688
2020598,102689
2020612,102690
2020626,102691
2020640,102692
2020654,102693
2020668,102694
2020682,102695
2020696,102696
2020710,102697
2020724,102698
2020738,102699
2020752,102700
2020766,102701
2020780,102702
2020794,102703
2020808,102704
2020822,102705
2020836,102706
2020850,102707
2020864,102708
2020878,102709
2020892,102710
2020906,102711
2020920,102712
2020934,102713
2020948,102714
2020962,102715
2020976,102716
2020990,102717
2021004,102718
2021018,102719
2021032,102720
2021046,102721
2021060,102722
2021074,102723
2021088,102724
2021102,102725
2021116,102726
2021130,102727
2021144,102728
2021158,102729
2021172,102730
2021186,102731
2021200,102732
2021214,102733
2021228,102734
2021242,102735
2021256,102736
2021270,102737
2021284,102738
2021298,102739
2021312,102740
2021326,102741
2021340,102742
2021354,102743
2021368,102744
2021382,102745
2021396,102746
2021410,102747
2021424,102748
2021438,102749
2021452,102750
2021466,102751
2021480,102752
2021494,102753
2021508,102754
2021522,102755
2021536,102756
2021550,102757
2021564,102758
2021578,102759
2021592,102760
2021606,102761
2021620,102762
2021634,102763
2021648,102764
2021662,102765
2021676,102766
2021690,102767
2021704,102768
2021718,102769
2021732,102770
2021746,102771
2021760,102772
2021774,102773
2021788,102774
2021802,102775
2021816,102776
2021830,102777
2021844,102778
2021858,102779
2021872,102780
2021886,102781
2021900,102782
2021914,102783
2021928,102784
2021942,102785
2021956,102786
2021970,102787
2021984,102788
2021998,102789
2022012,102790
2022026,102791
2022040,102792
2022054,102793
2022068,102794
2022082,102795
2022096,102796
2022110,102797
2022124,102798
2022138,102799
2022152,102800
2022166,102801
2022180,102802
2022194,102803
2022208,102804
2022222,102805
2022236,102806
2022250,102807
2022264,102808
2022278,102809
2022292,102810
2022306,102811
2022320,102812
2022334,102813
2022348,102814
2022362,102815
2022376,102816
2022390,102817
2022404,102818
2022418,102819
2022432,102820
2022446,102821
2022460,102822
2022474,102823
2022488,102824
2022502,102825
2022516,102826
2022530,102827
2022544,102828
2022558,102829
2022572,102830
2022586,102831
2022600,102832
2022614,102833
2022628,102834
2022642,102835
2022656,102836
2022670,102837
2022684,102838
2022698,102839
2022712,102840
2022726,102841
2022740,102842
2022754,102843
2022768,102844
2022782,102845
2022796,102846
2022810,102847
2022824,102848
2022838,102849
2022852,102850
2022866,102851
2022880,102852
2022894,102853
2022908,102854
2022922,102855
2022936,102856
2022950,102857
2022964,102858
2022978,102859
2022992,102860
2023006,102861
2023020,102862
2023034,102863
2023048,102864
2023062,102865
2023076,102866
2023090,102867
2023104,102868
2023118,102869
2023132,102870
2023146,102871
2023160,102872
2023174,102873
2023188,102874
2023202,102875
2023216,102876
2023230,102877
2023244,102878
2023258,102879
2023272,102880
2023286,102881
2023300,102882
2023314,102883
2023328,102884
2023342,102885
2023356,102886
2023370,102887
2023384,102888
2023398,102889
2023412,102890
2023426,102891
2023440,102892
2023454,102893
2023468,102894
2023482,102895
2023496,102896
2023510,102897
2023524,102898
2023538,102899
2023552,102900
2023566,102901
2023580,102902
2023594,102903
2023608,102904
2023622,102905
2023636,102906
2023650,102907
2023664,102908
2023678,102909
2023692,102910
2023706,102911
2023720,102912
2023734,102913
2023748,102914
2023762,102915
2023776,102916
2023790,102917
2023804,102918
2023818,102919
2023832,102920
2023846,102921
2023860,102922
2023874,102923
2023888,102924
2023902,102925
2023916,102926
2023930,102927
2023944,102928
2023958,102929
2023972,102930
2023986,102931
2024000,102932
2024014,102933
2024028,102934
2024042,102935
2024056,102936
2024070,102937
2024084,102938
2024098,102939
2024112,102940
2024126,102941
2024140,102942
2024154,102943
2024168,102944
2024182,102945
2024196,102946
2024210,102947
2024224,102948
2024238,102949
2024252,102950
2024266,102951
2024280,102952
2024294,102953
2024308,102954
2024322,102955
2024336,102956
2024350,102957
2024364,102958
2024378,102959
2024392,102960
2024406,102961
2024420,102962
2024434,102963
2024448,102964
2024462,102965
2024476,102966
2024490,102967
2024504,102968
2024518,102969
2024532,102970
2024546,102971
2024560,102972
2024574,102973
2024588,102974
2024602,102975
2024616,102976
2024630,102977
2024644,102978
2024658,102979
2024672,102980
2024686,102981
2024700,102982
2024714,102983
2024728,102984
2024742,102985
2024756,102986
2024770,102987
2024784,102988
2024798,102989
2024812,102990
2024826,102991
2024840,102992
2024854,102993
2024868,102994
2024882,102995
2024896,102996
2024910,102997
