timestamp,count,aggregate
2025904,300,44850
2026804,600,179700
2027704,899,403651
2028604,1000,499500
2029504,1000,499500
2030404,1000,499500
2031304,1000,499500
2032204,1000,499500
2033104,1000,499500
2034004,1000,499500
2034904,1000,499500
2035804,1000,499500
2036704,1000,499500
2037604,1000,499500
2038504,1000,499500
2039404,1000,499500
2040304,1000,499500
2041204,1000,499500
2042104,1000,499500
2043004,1000,499500
2043904,1000,499500
2044804,1000,499500
2045704,1000,499500
2046604,1000,499500
2047504,1000,499500
2048404,1000,499500
2049304,1000,499500
2050204,1000,499500
2051104,1000,499500
2052004,1000,499500
2052904,1000,499500
2053804,1000,499500
2054704,1000,499500
2055604,1000,499500
2056504,1000,499500
2057404,1000,499500
2058304,1000,499500
2059204,1000,499500
2060104,1000,499500
2061004,1000,499500
2061904,1000,499500
2062804,1000,499500
2063704,1000,499500
2064604,1000,499500
2065504,1000,499500
2066404,1000,499500
2067304,1000,499500
2068204,1000,499500
2069104,1000,499500
2070004,1000,499500
2070904,1000,499500
2071804,1000,499500
2072704,1000,499500
2073604,1000,499500
2074504,1000,499500
2075404,1000,499500
2076304,1000,499500
2077204,1000,499500
2078104,1000,499500
2079004,1000,499500
2079904,1000,499500
2080804,1000,499500
2081704,1000,499500
2082604,1000,499500
2083504,1000,499500
2084404,1000,499500
2085304,1000,499500
2086204,1000,499500
2087104,1000,499500
2088004,1000,499500
2088904,1000,499500
2089804,1000,499500
2090704,1000,499500
2091604,1000,499500
2092504,1000,499500
2093404,1000,499500
2094304,1000,499500
2095204,1000,499500
2096104,1000,499500
2097004,1000,499500
2097904,1000,499500
2098804,1000,499500
2099704,1000,499500
2100604,1000,499500
2101504,1000,499500
2102404,1000,499500
2103304,1000,499500
2104204,1000,499500
2105104,1000,499500
2106004,1000,499500
2106904,1000,499500
2107804,1000,499500
2108704,1000,499500
2109604,1000,499500
2110504,1000,499500
2111404,1000,499500
2112304,1000,499500
2113204,1000,499500
2114104,1000,499500
2115004,1000,499500
2115904,700,454650
2116804,400,319800
2117704,101,95849
