timestamp,data
2020005,111001
2020007,111001
2020009,111001
2020011,111001
2020013,111001
2020015,111001
2020017,111001
2020019,111001
2020021,111001
2020023,111001
2020027,111002
2020029,111002
2020031,111002
2020033,111002
2020035,111002
2020037,111002
2020039,111002
2020041,111002
2020043,111002
2020045,111002
2020049,111003
2020051,111003
2020053,111003
2020055,111003
2020057,111003
2020059,111003
2020061,111003
2020063,111003
2020065,111003
2020067,111003
2020071,111004
2020073,111004
2020075,111004
2020077,111004
2020079,111004
2020081,111004
2020083,111004
2020085,111004
2020087,111004
2020089,111004
2020093,111005
2020095,111005
2020097,111005
2020099,111005
2020101,111005
2020103,111005
2020105,111005
2020107,111005
2020109,111005
2020111,111005
2020115,111006
2020117,111006
2020119,111006
2020121,111006
2020123,111006
2020125,111006
2020127,111006
2020129,111006
2020131,111006
2020133,111006
2020137,111007
2020139,111007
2020141,111007
2020143,111007
2020145,111007
2020147,111007
2020149,111007
2020151,111007
2020153,111007
2020155,111007
2020159,111008
2020161,111008
2020163,111008
2020165,111008
2020167,111008
2020169,111008
2020171,111008
2020173,111008
2020175,111008
2020177,111008
2020181,111009
2020183,111009
2020185,111009
2020187,111009
2020189,111009
2020191,111009
2020193,111009
2020195,111009
2020197,111009
2020199,111009
2020203,111010
2020206,111010
2020208,111010
2020210,111010
2020212,111010
2020214,111010
2020216,111010
2020218,111010
2020220,111010
2020222,111010
2020226,111011
2020228,111011
2020230,111011
2020232,111011
2020234,111011
2020236,111011
2020238,111011
2020240,111011
2020242,111011
2020244,111011
2020248,111012
2020250,111012
2020252,111012
2020254,111012
2020256,111012
2020258,111012
2020260,111012
2020262,111012
2020264,111012
2020266,111012
2020270,111013
2020272,111013
2020274,111013
2020276,111013
2020278,111013
2020280,111013
2020282,111013
2020284,111013
2020286,111013
2020288,111013
2020292,111014
2020294,111014
2020296,111014
2020298,111014
2020300,111014
2020302,111014
2020304,111014
2020308,111014
2020310,111014
2020312,111014
2020316,111015
2020318,111015
2020320,111015
2020322,111015
2020324,111015
2020326,111015
2020328,111015
2020330,111015
2020332,111015
2020334,111015
2020338,111016
2020340,111016
2020342,111016
2020344,111016
2020346,111016
2020348,111016
2020350,111016
2020352,111016
2020354,111016
2020356,111016
2020360,111017
2020362,111017
2020364,111017
2020366,111017
2020368,111017
2020370,111017
2020372,111017
2020374,111017
2020376,111017
2020378,111017
2020382,111018
2020384,111018
2020386,111018
2020388,111018
2020390,111018
2020392,111018
2020394,111018
2020396,111018
2020398,111018
2020400,111018
2020404,111019
2020407,111019
2020409,111019
2020411,111019
2020413,111019
2020415,111019
2020417,111019
2020419,111019
2020421,111019
2020423,111019
2020427,111020
2020429,111020
2020431,111020
2020433,111020
2020435,111020
2020437,111020
2020439,111020
2020441,111020
2020443,111020
2020445,111020
2020449,111021
2020451,111021
2020453,111021
2020455,111021
2020457,111021
2020459,111021
2020461,111021
2020463,111021
2020465,111021
2020467,111021
2020471,111022
2020473,111022
2020475,111022
2020477,111022
2020479,111022
2020481,111022
2020483,111022
2020485,111022
2020487,111022
2020489,111022
2020493,111023
2020495,111023
2020497,111023
2020499,111023
2020501,111023
2020503,111023
2020508,111023
2020510,111023
2020512,111023
2020514,111023
2020518,111024
2020520,111024
