timestamp,data
2025005,120001
2025008,120002
2025011,120003
2025014,120004
2025017,120005
2025020,120006
2025023,120007
2025026,120008
2025029,120009
2025032,120010
2025035,120011
2025038,120012
2025041,120013
2025044,120014
2025047,120015
2025050,120016
2025053,120017
2025056,120018
2025059,120019
2025062,120020
2025065,120021
2025068,120022
2025071,120023
2025074,120024
2025077,120025
2025080,120026
2025083,120027
2025086,120028
2025089,120029
2025092,120030
2025095,120031
2025098,120032
2025101,120033
2025104,120034
2025107,120035
2025110,120036
2025113,120037
2025116,120038
2025119,120039
2025122,120040
2025125,120041
2025128,120042
2025131,120043
2025134,120044
2025137,120045
2025140,120046
2025143,120047
2025146,120048
2025149,120049
2025152,120050
2025155,120051
2025158,120052
2025161,120053
2025164,120054
2025167,120055
2025170,120056
2025173,120057
2025176,120058
2025179,120059
2025182,120060
2025185,120061
2025188,120062
2025191,120063
2025194,120064
2025197,120065
2025200,120066
2025203,120067
2025206,120068
2025209,120069
2025212,120070
2025215,120071
2025218,120072
2025221,120073
2025224,120074
2025227,120075
2025230,120076
2025233,120077
2025236,120078
2025239,120079
2025242,120080
2025245,120081
2025248,120082
2025251,120083
2025254,120084
2025257,120085
2025260,120086
2025263,120087
2025266,120088
2025269,120089
2025272,120090
2025275,120091
2025278,120092
2025281,120093
2025284,120094
2025287,120095
2025290,120096
2025293,120097
2025296,120098
2025299,120099
2025302,120100
2025305,120101
2025308,120102
2025311,120103
2025314,120104
2025317,120105
2025320,120106
2025323,120107
2025326,120108
2025329,120109
2025332,120110
2025335,120111
2025338,120112
2025341,120113
2025344,120114
2025347,120115
2025350,120116
2025353,120117
2025356,120118
2025359,120119
2025362,120120
2025365,120121
2025368,120122
2025371,120123
2025374,120124
2025377,120125
2025380,120126
2025383,120127
2025386,120128
2025389,120129
2025392,120130
2025395,120131
2025398,120132
2025401,120133
2025404,120134
2025407,120135
2025410,120136
2025413,120137
2025416,120138
2025419,120139
2025422,120140
2025425,120141
2025428,120142
2025431,120143
2025434,120144
2025437,120145
2025440,120146
2025443,120147
2025446,120148
2025449,120149
2025452,120150
2025455,120151
2025458,120152
2025461,120153
2025464,120154
2025467,120155
2025470,120156
2025473,120157
2025476,120158
2025479,120159
2025482,120160
2025485,120161
2025488,120162
2025491,120163
2025494,120164
2025497,120165
2025500,120166
2025503,120167
2025506,120168
2025509,120169
2025512,120170
2025515,120171
2025518,120172
2025521,120173
2025524,120174
2025527,120175
2025530,120176
2025533,120177
2025536,120178
2025539,120179
2025542,120180
2025545,120181
2025548,120182
2025551,120183
2025554,120184
2025557,120185
2025560,120186
2025563,120187
2025566,120188
2025569,120189
2025572,120190
2025575,120191
2025578,120192
2025581,120193
2025584,120194
2025587,120195
2025590,120196
2025593,120197
2025596,120198
2025599,120199
2025602,120200
2025605,120201
2025608,120202
2025611,120203
2025614,120204
2025617,120205
2025620,120206
2025623,120207
2025626,120208
2025629,120209
2025632,120210
2025635,120211
2025638,120212
2025641,120213
2025644,120214
2025647,120215
2025650,120216
2025653,120217
2025656,120218
2025659,120219
2025662,120220
2025665,120221
2025668,120222
2025671,120223
2025674,120224
2025677,120225
2025680,120226
2025683,120227
2025686,120228
2025689,120229
2025692,120230
2025695,120231
2025698,120232
2025701,120233
2025704,120234
2025707,120235
2025710,120236
2025713,120237
2025716,120238
2025719,120239
2025722,120240
2025725,120241
2025728,120242
2025731,120243
2025734,120244
2025737,120245
2025740,120246
2025743,120247
2025746,120248
2025749,120249
2025752,120250
2025755,120251
2025758,120252
2025761,120253
2025764,120254
2025767,120255
2025770,120256
2025773,120257
2025776,120258
2025779,120259
2025782,120260
2025785,120261
2025788,120262
2025791,120263
2025794,120264
2025797,120265
2025800,120266
2025803,120267
2025806,120268
2025809,120269
2025812,120270
2025815,120271
2025818,120272
2025821,120273
2025824,120274
2025827,120275
2025830,120276
2025833,120277
2025836,120278
2025839,120279
2025842,120280
2025845,120281
2025848,120282
2025851,120283
2025854,120284
2025857,120285
2025860,120286
2025863,120287
2025866,120288
