timestamp,count,aggregate
1010100,39,741
1010200,79,3081
1010300,119,7021
1010400,158,12403
1010500,198,19503
1010600,238,28203
1010700,277,38226
1010800,317,50086
1010900,357,63546
1011000,397,78606
1011100,436,94830
1011200,476,113050
1011300,516,132870
1011400,555,153735
1011500,595,176715
1011600,635,201295
1011700,674,226801
1011800,714,254541
1011900,754,283881
1012000,794,314821
1012100,833,346528
1012200,873,380628
1012300,913,416328
1012400,952,452676
1012500,992,491536
1012600,1032,499996
1012700,1071,501985
1012800,1111,505605
1012900,1151,510825
1013000,1191,517645
1013100,1230,525835
1013200,1270,535815
1013300,1310,547395
1013400,1349,560226
1013500,1389,574966
1013600,1429,591306
1013700,1468,608778
1013800,1508,628278
1013900,1548,649378
1014000,1588,672078
1014100,1627,695751
1014200,1667,721611
1014300,1707,749071
1014400,1746,777385
1014500,1786,808005
1014600,1826,840225
1014700,1865,873180
1014800,1905,908560
1014900,1945,945540
1015000,1985,984120
1015100,2024,999276
1015200,2064,1.00102e+06
1015300,2104,1.00436e+06
1015400,2143,1.00915e+06
1015500,2183,1.01565e+06
1015600,2223,1.02375e+06
1015700,2262,1.03319e+06
1015800,2302,1.04445e+06
1015900,2342,1.05731e+06
1016000,2382,1.07177e+06
1016100,2421,1.08741e+06
1016200,2461,1.10503e+06
1016300,2501,1.12425e+06
1016400,2540,1.14453e+06
1016500,2580,1.16691e+06
1016600,2620,1.19089e+06
1016700,2659,1.21581e+06
1016800,2699,1.24295e+06
1016900,2739,1.27169e+06
1017000,2779,1.30203e+06
1017100,2818,1.33315e+06
1017200,2858,1.36665e+06
1017300,2898,1.40175e+06
1017400,2937,1.43752e+06
1017500,2977,1.47578e+06
1017600,3000,1.4985e+06
1017700,3000,1.4985e+06
1017800,3000,1.4985e+06
1017900,3000,1.4985e+06
1018000,3000,1.4985e+06
1018100,3000,1.4985e+06
1018200,3000,1.4985e+06
1018300,3000,1.4985e+06
1018400,3000,1.4985e+06
1018500,3000,1.4985e+06
1018600,3000,1.4985e+06
1018700,3000,1.4985e+06
1018800,3000,1.4985e+06
1018900,3000,1.4985e+06
1019000,3000,1.4985e+06
1019100,3000,1.4985e+06
1019200,3000,1.4985e+06
1019300,3000,1.4985e+06
1019400,3000,1.4985e+06
1019500,3000,1.4985e+06
1019600,3000,1.4985e+06
1019700,3000,1.4985e+06
1019800,3000,1.4985e+06
1019900,3000,1.4985e+06
1020000,3000,1.4985e+06
1020100,2961,1.49776e+06
1020200,2921,1.49542e+06
1020300,2881,1.49148e+06
1020400,2842,1.4861e+06
1020500,2802,1.479e+06
1020600,2762,1.4703e+06
1020700,2723,1.46027e+06
1020800,2683,1.44841e+06
1020900,2643,1.43495e+06
1021000,2603,1.41989e+06
1021100,2564,1.40367e+06
1021200,2524,1.38545e+06
1021300,2484,1.36563e+06
1021400,2445,1.34476e+06
1021500,2405,1.32178e+06
1021600,2365,1.2972e+06
1021700,2326,1.2717e+06
1021800,2286,1.24396e+06
1021900,2246,1.21462e+06
1022000,2206,1.18368e+06
1022100,2167,1.15197e+06
1022200,2127,1.11787e+06
1022300,2087,1.08217e+06
1022400,2048,1.04582e+06
1022500,2008,1.00696e+06
1022600,1968,998504
1022700,1929,996515
1022800,1889,992895
1022900,1849,987675
1023000,1809,980855
1023100,1770,972665
1023200,1730,962685
1023300,1690,951105
1023400,1651,938274
1023500,1611,923534
1023600,1571,907194
1023700,1532,889722
1023800,1492,870222
1023900,1452,849122
1024000,1412,826422
1024100,1373,802749
1024200,1333,776889
1024300,1293,749429
1024400,1254,721115
1024500,1214,690495
1024600,1174,658275
1024700,1135,625320
1024800,1095,589940
1024900,1055,552960
1025000,1015,514380
1025100,976,499224
1025200,936,497484
1025300,896,494144
1025400,857,489347
1025500,817,482847
1025600,777,474747
1025700,738,465309
1025800,698,454049
1025900,658,441189
1026000,618,426729
1026100,579,411090
1026200,539,393470
1026300,499,374250
1026400,460,353970
1026500,420,331590
1026600,380,307610
1026700,341,282689
1026800,301,255549
1026900,261,226809
1027000,221,196469
1027100,182,165347
1027200,142,131847
1027300,102,96747
1027400,63,60984
1027500,23,22724
